
Lynn Nancy Rivers	Democrat Representative (MI-13)
Lynn Woolsey	Democrat Representative (CA-6)
Mac Collins	Republican Representative (GA-3)
Mac Thornberry	Republican Representative (TX-13)
Mack Mattingly	2000 Republican Challenger for Senate (GA)
Major Owens	Democrat/Working-Families Representative (NY-11)
Marc Pacheco	Democratic Massachusetts State Senator (First Plymouth & Bristol)
Marc Racicot	Republican Governor (MT)
Marcy Kaptur	Democrat Representative (OH-9)
Marge Roukema	Republican Representative (NJ-5)
Maria Cantwell	Democrat Jr Senator (WA)
Marian Walsh	Democratic Massachusetts State Senator (Suffolk & Norfolk)
Marilyn Musgrave	US Representative (Colorado-4)
Mario Cuomo	Former Governor of New York
Mario Diaz-Balart	US Representative (Florida-25)
Marion Berry	Democrat Representative (AR-1)
Mark Dayton	Democrat Jr Senator (MN)
Mark Earley	Republican Candidate Governor (VA)
Mark Foley	Republican Representative (FL-16)
Mark Green	Republican Representative (WI-8)
Mark Hatfield	Former Republican Senator (OR)
Mark Kennedy	Republican Representative (MN-2)
Mark Kirk	Republican Representative (IL-10)
Mark Lawrence	2000 Democrat Challenger for Senate (ME)
Mark Montigny	Democratic Massachusetts State Senator (Second Bristol & Plymouth)
Mark Neumann	Former Republican Representative (WI-1)
Mark Pryor	Democrat Challenger (AR)
Mark Sanford	Republican Governor (SC); formerly Representative (SC-1)
Mark Schweiker	Republican Governor (PA)
Mark Souder	Republican Representative (IN-4)
Mark Udall	Democrat Representative (CO-2)
Mark Warner	Democrat Candidate Governor (VA)
Marsha Blackburn	US Representative (Tennessee-7)
Martin Frost	Democrat Representative (TX-24)
Martin Hoke	Former Republican Representative (OH-10)
Martin Lindstedt	2000 Reform Challenger for Senate (MO)
Martin Sabo	Democrat/Farmer/Labor Representative (MN-5)
Marty Martinez	Republican Representative (CA-31)
Marty Meehan	Democrat Representative (MA-5)
Mary Bono	Republican Representative (CA-44)
Mary Landrieu	Democrat Jr Senator (LA)
Mary Ruwart	2000 Libertarian Challenger for Senate (TX)
Matt Salmon	Republican Representative (AZ-1)
Maurice Hinchey	Dem./Ind./Lib./Working-Fam. Representative (NY-26)
Max Baucus	Democrat Sr Senator (MT)
Max Burns	US Representative (Georgia-12)
Max Cleland	Democrat Sr Senator (GA)
Max Sandlin	Democrat Representative (TX-1)
Maxine Waters	Democrat Representative (CA-35)
Medea Benjamin	2000 Green Challenger for Senate (CA)
Mel Carnahan	Governor & 2000 Democrat Challenger for Senate (MO)-Deceased 2000
Mel Hancock	Former Republican Representative (MO-7)
Mel Logan	2000 Democrat Challenger for Senate (WY)
Mel Martinez	Cabinet Member
Mel Watt	Democrat Representative (NC-12)
Melissa Hart	Republican Representative (PA-4)
Merrill Cook	Republican Representative (UT-2)
Michael Badnarik	Libertarian presidential nominee 2004
Michael Bilirakis	Republican Representative (FL-9)
Michael Burgess	US Representative (Texas-26)
Michael Capuano	Democrat Representative (MA-8)
Michael Castle	Republican Representative (DE-AL)
Michael Crapo	Republican Jr Senator (ID)
Michael Enzi	Republican Jr Senator (WY)
Michael Forbes	Republican Representative (NY-1)
Michael Knapik	Republican Massachusetts State Senator (Second Hampden & Hampshire)
Michael McNulty	Democratic/Ind./Cons. Representative (NY-21)
Michael Michaud	US Representative (Maine-2)
Michael Morrissey	Democratic Massachusetts State Senator (Norfolk & Plymouth)
Michael Oxley	Republican Representative (OH-4)
Mike DeWine	Republican Sr Senator (OH)
Mike Doyle	Democrat Representative (PA-18)
Mike Easley	Democrat Governor (NC)
Mike Ferguson	Republican Representative (NJ-7)
Mike Flanagan	Former Republican Representative (IL-5)
Mike Foster	Republican Governor (LA)
Mike Honda	Democrat Representative (CA-15)
Mike Huckabee	Republican Governor (AR)
Mike Johanns	Republican Governor (NE)
Mike Leavitt	Republican Governor (UT)
Mike McIntyre	Democrat Representative (NC-7)
Mike Pence	Republican Representative (IN-2)
Mike Rogers	Republican Representative (MI-8)
Mike Ross	Democrat Representative (AR-4)
Mike Rounds	Republican Governor (SD)
Mike Simpson	Republican Representative (ID-2)
Mike Taylor	Republican Challenger (MT)
Mike Thompson	Democrat Representative (CA-1)
Mike Turner	US Representative (Ohio-3)
Milton Friedman	Libertarian Economist
Mitch McConnell	Republican Sr Senator (KY)
Nancy Kassebaum	Former Republican Senator (KS)
Nancy Lee Johnson	Republican Representative (CT-6)
Nancy Pelosi	Democrat Representative (CA-8)
Nat Goldhaber	Natural Law (Vice President)
Nathan Deal	Republican Representative (GA-9)
Natural Law Party	Party Platform
Neil Abercrombie	Democrat Representative (HI-1)
Neil Abercrombie	Democrat Representative (HI-1)
Newt Gingrich	Former Speaker of the House of Representatives (R, GA-6)
Nicholas Lampson	Democrat Representative (TX-9)
Nick Rahall	Democrat Representative (WV-3)
Nick Smith	Republican Representative (MI-7)
Nita Lowey	Democrat Representative (NY-18)
Noam Chomsky	Political Activist
Norm Coleman	Republican Challenger (MN)
Norm Dicks	Democrat Representative (WA-6)
Norman Mineta	Cabinet Member
Norman Sisisky	Democrat Representative (VA-4)
Nydia Velazquez	Democrat/Working-Families Representative (NY-12)
Olene Walker	Republican Governor (UT)
Olympia Snowe	Republican Sr Senator (ME)
Orrin Hatch	Republican Sr Senator (UT)
Owen Pickett	Democrat Representative (VA-2)
Pamela Resor	Democratic Massachusetts State Senator (Middlesex & Worcester)
Parris Glendening	Democrat Governor (MD)
Pat Buchanan	2000 Reform Candidate for President
Pat Danner	Democrat Representative (MO-6)
Pat Moynihan	Former Democrat Senator (NY)
Pat Roberts	Republican Jr Senator (KS)
Pat Tiberi	Republican Representative (OH-12)
Pat Toomey	Republican Representative (PA-15)
Patrick Kennedy	Democrat Representative (RI-1)
Patrick Leahy	Democrat Sr Senator (VT)
Patsy Mink	Democrat Representative (HI-2)
Patty Murray	Democrat Jr Senator (WA)
Paul Celucci	Former Republican Governor (MA)
Paul Coverdell	Former Republican Senator (GA)
Paul Gillmor	Republican Representative (OH-5)
Paul Kanjorski	Democrat Representative (PA-11)
Paul MacGregor	2000 Libertarian Challenger for Senate (GA)
Paul O'Neill	Cabinet Member
Paul Patton	Democrat Governor (KY)
Paul Rappaport	2000 Republican Challenger for Senate (MD)
Paul Ryan	Republican Representative (WI-1)
Paul Sarbanes	Democrat Sr Senator (MD)
Paul Simon	Former Democrat Senator (IL)
Paul Wellstone	Former Democrat Sr Senator (MN)-deceased 2002
Pedro Tenorio	Governor-Insular Territories
Pete Domenici	Republican Sr Senator (NM)
Pete Sessions	Republican Representative (TX-5)
Pete Stark	Democrat Representative (CA-13)
Peter Blute	Former Republican Representative (MA-3)
Peter Defazio	Democrat Representative (OR-4)
Peter Deutsch	Democrat Representative (FL-20)
Peter Fitzgerald	Republican Jr Senator (IL)
Peter Hoekstra	Republican Representative (MI-2)
Peter King	Rep./Ind./Con./Right-To-Life Representative (NY-3)
Peter Ruane	2000 Democrat Challenger for Senate (NY)
Peter Torkildsen	Former Republican Representative (MA-6)
Peter Visclosky	Democrat Representative (IN-1)
Phil Bredesen	Democratic Governor (TN)
Phil English	Republican Representative (PA-21)
Phil Gingrey	US Representative (Georgia-11)
Phil Gramm	Republican Sr Senator (TX)
Philip Crane	Republican Representative (IL-8)
Philip Giordano	2000 Republican Challenger for Senate (CT)
Philip Lawler	2000 Constitution Challenger for Senate (MA)
Porter Goss	Republican Representative (FL-14)
Princella Dixon	2000 Republican Challenger for Senate (GA)
Rahm Emanuel	US Representative (Illinois-5)
Ralph Moody Hall	Democrat Representative (TX-4)
Ralph Nader	2000 Green Candidate for President
Ralph Regula	Republican Representative (OH-16)
Randy Forbes	Republican Representative (VA-4)
Randy Neugebauer	US Representative (Texas-19)
Randy Tate	Former Republican Representative (WA-9)
Raul Grijalva	US Representative (Arizona-7)
Ray Clatworthy	Republican Challenger (DE)
Ray LaHood	Republican Representative (IL-18)
Reform Party	Party Platform
Republican Party	Party Platform
Rev. Jesse Jackson	Civil Rights Activist
Ric Keller	Republican Representative (FL-8)
Richard Bryan	Democrat Jr Senator (NV)
Richard Burr	Republican Representative (NC-5)
Richard C. Green	2000 Natural Law Challenger for Senate (CT)
Richard Durbin	Democrat Sr Senator (IL)
Richard Hugh Baker	Republican Representative (LA-6)
Richard Lugar	Republican Sr Senator (IN)
Richard Moore	Democratic Massachusetts State Senator (Worcester & Norfolk)
Richard Neal	Democrat Representative (MA-2)
Richard Nixon	President of the U.S., 1968-1974
Richard Pombo	Republican Representative (CA-11)
Richard Shelby	Republican Sr Senator (AL)
Richard Tisei	Republican Massachusetts State Senator (Middlesex & Essex)
Rick Boucher	Democrat Representative (VA-9)
Rick Hill	Republican Representative (MT-AL)
Rick Hubbard	2000 Republican Challenger for Senate (VT)
Rick Larsen	Democrat Representative (WA-2)
Rick Lazio	Republican/Cons. Representative (NY-2); candidate for Senate 2000
Rick Perry	Republican Governor (TX)
Rick Renzi	US Representative (Arizona-1)
Rick Santorum	Republican Jr Senator (PA)
Rick White	Former Republican Representative (WA-1)
Rob Andrews	Democrat Representative (NJ-1)
Rob Bishop	US Representative (Utah-1)
Rob Portman	Republican Representative (OH-2)
Rob Simmons	Republican Representative (CT-2)
Robert Aderholt	Republican Representative (AL-4)
Robert Antonioni	Democratic Massachusetts State Senator (Worcester & Middlesex)
Robert Bennett	Republican Jr Senator (UT)
Robert Borski	Democrat Representative (PA-3)
Robert Brady	Democrat Representative (PA-1)
Robert Byrd	Democrat Sr Senator (WV)
Robert Creedon	Democratic Massachusetts State Senator (Second Plymouth & Bristol)
Robert Ehrlich	Former Republican Representative (MD-2); currently Governor
Robert Franks	Republican Representative (NJ-7)
Robert Havern	Democratic Massachusetts State Senator (Fourth Middlesex)
Robert Hedlund	Republican Massachusetts State Senator (Plymouth & Norfolk)
Robert Matsui	Democrat Representative (CA-5)
Robert Menendez	Democrat Representative (NJ-13)
Robert O`Leary	Democratic Massachusetts State Senator (Cape & Islands)
Robert Reich	Former Labor Secretary & Democratic Gubernatorial Challenger (MA)
Robert Riley	Republican Governor (AL)
Robert Travaglini	Democratic Massachusetts State Senator (First Suffolk & Middlesex)
Robert Underwood	Representative (GU-Delegate)
Robert Walker	Former Republican Representative (PA-16)
Robert Watson	2000 Independent Challenger for Senate (TN)
Robert Wexler	Democrat Representative (FL-19)
Robert Weygand	2000 Democrat Challenger for Senate (RI) & Former Representative (RI-2)
Robin Hayes	Republican Representative (NC-8)
Rocky Raczkowski	Republican Challenger (MI)
Rod Blagojevich	Democratic Governor; former Representative (IL-5)
Rod Grams	Former Republican Senator (MN)
Rod Paige	Cabinet Member
Rodney Alexander	US Representative (Louisiana-5)
Rodney Frelinghuysen	Republican Representative (NJ-11)
Roger Wicker	Republican Representative (MS-1)
Ron Kind	Democrat Representative (WI-3)
Ron Kirk	Democrat Candidate (TX)
Ron Klink	Democrat Representative (PA-4) & 2000 Senate Challenger
Ron Lewis	Republican Representative (KY-2)
Ron Packard	Republican Representative (CA-48)
Ron Paul	Republican Representative (TX-14)
Ron Wyden	Democrat Sr Senator (OR)
Ronald Reagan	President of the U.S., 1980-1988
Ronnie Musgrove	Democrat Governor (MS)
Ronnie Shows	Democrat Representative (MS-4)
Rosa DeLauro	Democrat Representative (CT-3)
Roscoe Bartlett	Republican Representative (MD-6)
Ross Perot	1992 & 1996 Reform Party Nominee for President
Roy Barnes	Democrat Governor (GA)
Roy Blunt	Republican Representative (MO-7)
Ruben Hinojosa	Democrat Representative (TX-15)
Rudy Giuliani	Mayor of New York City; Republican Candidate for 2000 Senate (NY)
Rush Holt	Democrat Representative (NJ-12)
Rush Limbaugh	Conservative Talk-show Host
Russell Feingold	Democrat Jr Senator (WI)
Ruth Ann Minner	Democrat Governor (DE)
Ruth Bader Ginsburg	Supreme Court Justice
Sam Brownback	Republican Sr Senator (KS)
Sam Farr	Democrat Representative (CA-17)
Sam Gejdenson	Democrat Representative (CT-2)
Sam Johnson	Republican Representative (TX-3)
Sam Nunn	Former Democrat Senator (GA)
Sam Rankin	2000 Reform Challenger for Senate (MT)
Samuel Graves	Republican Representative (MO-6)
Sander Levin	Democrat Representative (MI-12)
Sandra Day O'Connor	Supreme Court Justice
Sanford Bishop	Democrat Representative (GA-2)
Saxby Chambliss	Republican Jr Senator (GA); Former Rep (GA-8)
Scott Garrett	US Representative (New Jersey-5)
Scott Howell	2000 Democrat Challenger for Senate (UT)
Scott Klug	Former Republican Representative (WI-2)
Scott McCallum	Republican Governor (WI)
Scott McInnis	Republican Representative (CO-3)
Scotty Baesler	Former Democrat Representative (KY-6), ran for Senate (1998); re-ran for House (2000)
Shannon O'Brien	Democratic Gubernatorial Challenger (MA)
Shawn OHara	2000 Reform Challenger for Senate (MS)
Sheila Jackson Lee	Democrat Representative (TX-18)
Shelley Berkley	Democrat Representative (NV-1)
Shelley Moore Capito	Republican Representative (WV-2)
Sherrod Brown	Democrat Representative (OH-13)
Sherry Boehlert	Republican/Independence Representative (NY-23)
Sila Calderon	Puerto Rico Governor (PR)
Silvestre Reyes	Democrat Representative (TX-16)
Slade Gorton	Former Republican Senator (WA)
Solomon Ortiz	Democrat Representative (TX-27)
Sonny Bono	Former Republican Representative (CA-44)
Sonny Callahan	Republican Representative (AL-1)
Sonny Perdue	Republican Governor (GA)
Spencer Abraham	Cabinet Member & Former Republican Senator (MI)
Spencer Bachus	Republican Representative (AL-6)
Stanley Rosenberg	Democratic Massachusetts State Senator (Hampshire & Franklin)
Steny Hoyer	Democrat Representative (MD-5)
Stephanie Tubbs Jones	Democrat Representative (OH-11)
Stephen Brewer	Democratic Massachusetts State Senator (Worcester, Hampden, Hampshire & Franklin)
Stephen Breyer	Supreme Court Justice
Steve Buyer	Republican Representative (IN-5)
Steve Chabot	Republican Representative (OH-1)
Steve Forbes	2000 Republican Primary Candidate for President
Steve Grossman	Democratic Gubernatorial Challenger (MA)
Steve Gunderson	Former Republican Representative (WI-3)
Steve Hopkins	2000 Constitution Challenger for Senate (TX)
Steve Horn	Republican Representative (CA-38)
Steve Israel	Democrat Representative (NY-2)
Steve King	US Representative (Iowa-5)
Steve Largent	Republican Representative (OK-1)
Steve Lynch	Democrat Representative (MA-9)
Steve Stockman	Former Republican Representative (TX-9)
Steven Baddour	Democratic Massachusetts State Senator (First Essex)
Steven Kuykendall	Republican Representative (CA-36)
Steven LaTourette	Republican Representative (OH-19)
Steven Panagiotakos	Democratic Massachusetts State Senator (First Middlesex)
Steven Pearce	US Representative (New Mexico-2)
Steven Rothman	Democrat Representative (NJ-9)
Steven Tolman	Democratic Massachusetts State Senator (Second Suffolk & Middlesex)
Strom Thurmond	Republican Sr Senator (SC)
Stuart Starky	2000 Democrat Challenger for Senate (AZ)
Sue Kelly	Republican/Conservative Representative (NY-19)
Sue Myrick	Republican Representative (NC-9)
Susan Brooks	Former Republican Representative (CA-36)
Susan Collins	Republican Jr Senator (ME)
Susan Davis	Democrat Representative (CA-49)
Susan Fargo	Democratic Massachusetts State Senator (Third Middlesex)
Susan Molinari	Former Republican Representative (NY-13)
Susan Parker	Democrat Challenger (AL)
Susan Tucker	Democratic Massachusetts State Senator (Second Essex & Middlesex)
Tammy Baldwin	Democrat Representative (WI-2)
Tauese Sunia	Governor of American Samoa
Ted Celeste	2000 Democrat Challenger for Senate (OH)
Ted Kennedy	Democrat Sr Senator (MA)
Ted Kulongoski	Democratic Governor (OR)
Ted Stevens	Republican Sr Senator (AK)
Ted Strickland	Democrat Representative (OH-6)
Terry Everett	Republican Representative (AL-2)
Thad Cochran	Republican Sr Senator (MS)
Thad McCotter	US Representative (Michigan-11)
Therese Murray	Democratic Massachusetts State Senator (Plymouth & Barnstable)
Thomas Ewing	Republican Representative (IL-15)
Thomas McGee	Democratic Massachusetts State Senator (Third Essex & Middlesex)
Thomas Reynolds	Republican/Cons. Representative (NY-27)
Thomas Thomassian	Minority Party (New York)
Tillie Fowler	Republican Representative (FL-4)
Tim Bishop	US Representative (New York-1)
Tim Holden	Democrat Representative (PA-6)
Tim Hutchinson	Republican Sr Senator (AR)
Tim Johnson	Democrat Jr Senator (SD)
Tim Murphy	US Representative (Pennsylvania-18)
Tim Pawlenty	Republican Governor (MN)
Tim Peterson	2000 Libertarian Challenger for Senate (WI)
Tim Roemer	Democrat Representative (IN-3)
Tim Ryan	US Representative (Ohio-17)
Timothy Johnson	Republican Representative (IL-15)
Tipper Gore	Democratic Candidate (TN)
Toby Roth	Former Republican Representative (WI-8)
Todd Akin	Republican Representative (MO-2)
Todd Platts	Republican Representative (PA-19)
Todd Tiahrt	Republican Representative (KS-4)
Tom Allen	Democrat Representative (ME-1)
Tom Barrett	Democrat Representative (WI-5)
Tom Birmingham	Democratic Gubernatorial Challenger (MA)
Tom Bliley	Republican Representative (VA-7)
Tom Burrell	2000 Independent Challenger for Senate (TN)
Tom Campbell	Republican Representative (CA-15) & 2000 Senate Challenger
Tom Carper	Democrat Jr Senator (DE)
Tom Coburn	Republican Representative (OK-2)
Tom Cole	US Representative (Oklahoma-4)
Tom Daschle	Democrat Sr Senator (SD)
Tom Davis	Republican Representative (VA-11)
Tom DeLay	Republican Representative (TX-22)
Tom Feeney	US Representative (Florida-24)
Tom Harkin	Democrat Jr Senator (IA)
Tom Lantos	Democrat Representative (CA-12)
Tom Latham	Republican Representative (IA-5)
Tom Martin	Democratic Challenger for House (PA-5)
Tom Osborne	Republican Representative (NE-3)
Tom Petri	Republican Representative (WI-6)
Tom Ridge	Former Republican Governor (PA)
Tom Sawyer	Democrat Representative (OH-14)
Tom Strickland	Democrat Challenger (CO)
Tom Tancredo	Republican Representative (CO-6)
Tom Udall	Democrat Representative (NM-3)
Tom Vilsack	Democrat Governor (IA)
Tommy Thompson	Cabinet Member
Tony Hall	Democrat Representative (OH-3)
Tony Knowles	Democrat Governor (AK)
Trent Franks	US Representative (Arizona-2)
Trent Lott	Republican Jr Senator (MS)
Troy Brown	2000 Democrat Challenger for Senate (MS)
Van Hilleary	Republican Representative (TN-4)
Vernon Ehlers	Republican Representative (MI-3)
Vic Fazio	Former Democrat Representative (CA-3, 1979-98)
Vic Snyder	Democrat Representative (AR-2)
Virgil Goode	Independent Representative (VA-5)
Vito Fossella	Rep./Cons./Right-To-Life Representative (NY-13)
Wally Herger	Republican Representative (CA-2)
Walter Beaman Jones	Republican Representative (NC-3)
Walter Mondale	Democrat for Senate (MN)
Warren Tolman	Democratic Gubernatorial Challenger (MA)
Wayne Allard	Republican Jr Senator (CO)
Wayne Gilchrest	Republican Representative (MD-1)
Wendell Ford	Former Democrat Senator (KY)
Wes Cooley	Former Republican Representative (OR-2)
Wes Watkins	Republican Representative (OK-3)
Wesley Clark	Democrat for President
William Cohen	Former Republican Senator (ME)
William Coyne	Democrat Representative (PA-14)
William Galvin	Democratic Gubernatorial Challenger (MA)
William Jefferson	Democrat Representative (LA-2)
William Lacy Clay	Democrat Representative (MO-1)
William Lipinski	Democrat Representative (IL-3)
William Redmond	2000 Republican Challenger for Senate (NM)
William Rehnquist	Supreme Court Justice
William Roth	Former Republican Senator (DE)
Willie Logan	2000 Independent Challenger for Senate (FL)
Winnie Walsh	2000 Independent Challenger for Senate (GA)
Xavier Becerra	Democrat Representative (CA-30)
Zach Wamp	Republican Representative (TN-3)
Zell Miller	Democrat Jr Senator, retiring 2004 (GA)
Zoe Lofgren	Democrat Representative (CA-16)
